student_id,class,subject_id,subject_name,day,time
B11,B,SE,Software Engineering,Tuesday,14:00
B11,B,CLOUD,Cloud Computing,Friday,09:00
B12,B,MAT,Mathematics,Monday,09:00
B12,B,AI,Artificial Intelligence,Wednesday,09:00
B12,B,SE,Software Engineering,Tuesday,14:00
B12,B,DATA_SCIENCE_HONORS,Data Science Honors,Thursday,14:00
B12,B,DATA_MINING,Data Mining,Friday,14:00
B13,B,MAT,Mathematics,Monday,09:00
B13,B,AI,Artificial Intelligence,Wednesday,09:00
B13,B,SE,Software Engineering,Tuesday,14:00
B13,B,BLOCKCHAIN,Blockchain Technology,Friday,09:00
B14,B,MAT,Mathematics,Monday,09:00
B14,B,AI,Artificial Intelligence,Wednesday,09:00
B14,B,SE,Software Engineering,Tuesday,14:00
B14,B,CLOUD,Cloud Computing,Friday,09:00
B15,B,MAT,Mathematics,Monday,09:00
B15,B,AI,Artificial Intelligence,Wednesday,09:00
B15,B,SE,Software Engineering,Tuesday,14:00
B15,B,CLOUD,Cloud Computing,Friday,09:00
B16,B,MAT,Mathematics,Monday,09:00
B16,B,AI,Artificial Intelligence,Wednesday,09:00
B16,B,SE,Software Engineering,Tuesday,14:00
B16,B,AI_HONORS,Artificial Intelligence Honors,Thursday,09:00
B16,B,DATA_MINING,Data Mining,Friday,14:00
B17,B,MAT,Mathematics,Monday,09:00
B17,B,AI,Artificial Intelligence,Wednesday,09:00
B17,B,SE,Software Engineering,Tuesday,14:00
B17,B,CLOUD,Cloud Computing,Friday,09:00
B18,B,MAT,Mathematics,Monday,09:00
B18,B,AI,Artificial Intelligence,Wednesday,09:00
B18,B,SE,Software Engineering,Tuesday,14:00
B18,B,CYBERSECURITY_HONORS,Cybersecurity Honors,Thursday,09:00
B18,B,BLOCKCHAIN,Blockchain Technology,Friday,09:00
B19,B,MAT,Mathematics,Monday,09:00
B19,B,AI,Artificial Intelligence,Wednesday,09:00
B19,B,SE,Software Engineering,Tuesday,14:00
B19,B,CYBERSECURITY_HONORS,Cybersecurity Honors,Thursday,09:00
B19,B,DATA_MINING,Data Mining,Friday,14:00
B20,B,MAT,Mathematics,Monday,09:00
B20,B,AI,Artificial Intelligence,Wednesday,09:00
B20,B,SE,Software Engineering,Tuesday,14:00
B20,B,CYBERSECURITY_HONORS,Cybersecurity Honors,Thursday,09:00
B20,B,DATA_MINING,Data Mining,Friday,14:00
C01,C,MAT,Mathematics,Monday,09:00
C01,C,AI,Artificial Intelligence,Wednesday,09:00
C01,C,CN,Computer Networks,Tuesday,09:00
C01,C,AI_HONORS,Artificial Intelligence Honors,Thursday,09:00
C01,C,CLOUD,Cloud Computing,Friday,09:00
C02,C,MAT,Mathematics,Monday,09:00
C02,C,AI,Artificial Intelligence,Wednesday,09:00
C02,C,CN,Computer Networks,Tuesday,09:00
C02,C,BLOCKCHAIN,Blockchain Technology,Friday,09:00
C03,C,MAT,Mathematics,Monday,09:00
C03,C,AI,Artificial Intelligence,Wednesday,09:00
C03,C,CN,Computer Networks,Tuesday,09:00
C03,C,CYBERSECURITY_HONORS,Cybersecurity Honors,Thursday,09:00
C03,C,DATA_MINING,Data Mining,Friday,14:00
C04,C,MAT,Mathematics,Monday,09:00
C04,C,AI,Artificial Intelligence,Wednesday,09:00
C04,C,CN,Computer Networks,Tuesday,09:00
C04,C,DATA_MINING,Data Mining,Friday,14:00
C05,C,MAT,Mathematics,Monday,09:00
C05,C,AI,Artificial Intelligence,Wednesday,09:00
C05,C,CN,Computer Networks,Tuesday,09:00
C05,C,AI_HONORS,Artificial Intelligence Honors,Thursday,09:00
C05,C,BLOCKCHAIN,Blockchain Technology,Friday,09:00
C06,C,MAT,Mathematics,Monday,09:00
C06,C,AI,Artificial Intelligence,Wednesday,09:00
C06,C,CN,Computer Networks,Tuesday,09:00
C06,C,CLOUD,Cloud Computing,Friday,09:00
C07,C,MAT,Mathematics,Monday,09:00
C07,C,AI,Artificial Intelligence,Wednesday,09:00
C07,C,CN,Computer Networks,Tuesday,09:00
C07,C,CLOUD,Cloud Computing,Friday,09:00
C08,C,MAT,Mathematics,Monday,09:00
C08,C,AI,Artificial Intelligence,Wednesday,09:00
C08,C,CN,Computer Networks,Tuesday,09:00
C08,C,BLOCKCHAIN,Blockchain Technology,Friday,09:00
C09,C,MAT,Mathematics,Monday,09:00
C09,C,AI,Artificial Intelligence,Wednesday,09:00
C09,C,CN,Computer Networks,Tuesday,09:00
C09,C,CLOUD,Cloud Computing,Friday,09:00
C10,C,MAT,Mathematics,Monday,09:00
C10,C,AI,Artificial Intelligence,Wednesday,09:00
C10,C,CN,Computer Networks,Tuesday,09:00
C10,C,CYBERSECURITY_HONORS,Cybersecurity Honors,Thursday,09:00
C10,C,DATA_MINING,Data Mining,Friday,14:00
C11,C,MAT,Mathematics,Monday,09:00
C11,C,AI,Artificial Intelligence,Wednesday,09:00
C11,C,CN,Computer Networks,Tuesday,09:00
C11,C,BLOCKCHAIN,Blockchain Technology,Friday,09:00
C12,C,MAT,Mathematics,Monday,09:00
C12,C,AI,Artificial Intelligence,Wednesday,09:00
C12,C,CN,Computer Networks,Tuesday,09:00
C12,C,CLOUD,Cloud Computing,Friday,09:00
C13,C,MAT,Mathematics,Monday,09:00
C13,C,AI,Artificial Intelligence,Wednesday,09:00
C13,C,CN,Computer Networks,Tuesday,09:00
C13,C,CLOUD,Cloud Computing,Friday,09:00
C14,C,MAT,Mathematics,Monday,09:00
C14,C,AI,Artificial Intelligence,Wednesday,09:00
C14,C,CN,Computer Networks,Tuesday,09:00
C14,C,BLOCKCHAIN,Blockchain Technology,Friday,09:00
C15,C,MAT,Mathematics,Monday,09:00
C15,C,AI,Artificial Intelligence,Wednesday,09:00
C15,C,CN,Computer Networks,Tuesday,09:00
C15,C,BLOCKCHAIN,Blockchain Technology,Friday,09:00
C16,C,MAT,Mathematics,Monday,09:00
C16,C,AI,Artificial Intelligence,Wednesday,09:00
C16,C,CN,Computer Networks,Tuesday,09:00
C16,C,DATA_SCIENCE_HONORS,Data Science Honors,Thursday,14:00
C16,C,DATA_MINING,Data Mining,Friday,14:00
C17,C,MAT,Mathematics,Monday,09:00
C17,C,AI,Artificial Intelligence,Wednesday,09:00
C17,C,CN,Computer Networks,Tuesday,09:00
C17,C,AI_HONORS,Artificial Intelligence Honors,Thursday,09:00
C17,C,BLOCKCHAIN,Blockchain Technology,Friday,09:00
C18,C,MAT,Mathematics,Monday,09:00
C18,C,AI,Artificial Intelligence,Wednesday,09:00
C18,C,CN,Computer Networks,Tuesday,09:00
C18,C,DATA_MINING,Data Mining,Friday,14:00
C19,C,MAT,Mathematics,Monday,09:00
C19,C,AI,Artificial Intelligence,Wednesday,09:00
C19,C,CN,Computer Networks,Tuesday,09:00
C19,C,CLOUD,Cloud Computing,Friday,09:00
C20,C,MAT,Mathematics,Monday,09:00
C20,C,AI,Artificial Intelligence,Wednesday,09:00
C20,C,CN,Computer Networks,Tuesday,09:00
C20,C,CLOUD,Cloud Computing,Friday,09:00
