subject_1,subject_1_name,subject_2,subject_2_name,number_of_conflicting_students,conflicting_students
DATA_SCIENCE_HONORS,Data Science Honors,MAT,Mathematics,7,"A05,A15,A16,A20,B06,B12,C16"
BLOCKCHAIN,Blockchain Technology,SE,Software Engineering,6,"B02,B06,B08,B09,B13,B18"
CYBERSECURITY_HONORS,Cybersecurity Honors,SE,Software Engineering,6,"B03,B09,B10,B18,B19,B20"
AI_HONORS,Artificial Intelligence Honors,CN,Computer Networks,6,"A06,A14,A17,C01,C05,C17"
BLOCKCHAIN,Blockchain Technology,DB,Database Systems,6,"A04,A08,A09,A16,A17,A20"
DATA_MINING,Data Mining,SE,Software Engineering,5,"B01,B12,B16,B19,B20"
AI,Artificial Intelligence,AI_HONORS,Artificial Intelligence Honors,5,"B08,B16,C01,C05,C17"
CN,Computer Networks,DATA_SCIENCE_HONORS,Data Science Honors,5,"A05,A15,A16,A20,C16"
CYBERSECURITY_HONORS,Cybersecurity Honors,DATA_MINING,Data Mining,4,"B19,B20,C03,C10"
AI_HONORS,Artificial Intelligence Honors,BLOCKCHAIN,Blockchain Technology,4,"A17,B08,C05,C17"
DATA_SCIENCE_HONORS,Data Science Honors,DB,Database Systems,4,"A05,A15,A16,A20"
DATA_MINING,Data Mining,DB,Database Systems,4,"A10,A13,A14,A19"
CN,Computer Networks,CYBERSECURITY_HONORS,Cybersecurity Honors,3,"A03,C03,C10"
AI,Artificial Intelligence,DATA_SCIENCE_HONORS,Data Science Honors,3,"B06,B12,C16"
CLOUD,Cloud Computing,CYBERSECURITY_HONORS,Cybersecurity Honors,3,"A03,B03,B10"
AI_HONORS,Artificial Intelligence Honors,DB,Database Systems,3,"A06,A14,A17"
BLOCKCHAIN,Blockchain Technology,DATA_SCIENCE_HONORS,Data Science Honors,3,"A16,A20,B06"
AI_HONORS,Artificial Intelligence Honors,SE,Software Engineering,2,"B08,B16"
AI_HONORS,Artificial Intelligence Honors,DATA_MINING,Data Mining,2,"A14,B16"
CLOUD,Cloud Computing,DATA_SCIENCE_HONORS,Data Science Honors,2,"A05,A15"
AI_HONORS,Artificial Intelligence Honors,CLOUD,Cloud Computing,2,"A06,C01"
DATA_MINING,Data Mining,DATA_SCIENCE_HONORS,Data Science Honors,2,"B12,C16"
DATA_SCIENCE_HONORS,Data Science Honors,SE,Software Engineering,2,"B06,B12"
BLOCKCHAIN,Blockchain Technology,CYBERSECURITY_HONORS,Cybersecurity Honors,2,"B09,B18"
CYBERSECURITY_HONORS,Cybersecurity Honors,DB,Database Systems,1,A03
